,id_filma,zanr,id_rezisera,id_glumca1,id_glumca2,ocena,mesec_izlaska,br_oskara_rezisera,br_dr_nagrada_rezisera,br_oskara_glumca1,br_dr_nagrada_glumca1,br_oskara_glumca2,br_dr_nagrada_glumca2
0,tt1375666,"Action, Adventure, Sci-Fi",nm0634240,nm0000138,nm0330687,8.8,July,5,139,1,99,0,22
1,tt1345836,"Action, Adventure",nm0634240,nm0000288,nm0362766,8.4,July,5,139,1,78,1,18
2,tt0816692,"Adventure, Drama, Sci-Fi",nm0634240,nm0000190,nm0004266,8.6,November,5,139,1,48,1,68
3,tt1853728,"Drama, Western",nm0000233,nm0004937,nm0910607,8.4,January,2,165,1,50,2,83
4,tt0848228,"Action, Adventure, Sci-Fi",nm0923736,nm0000375,nm0262635,8.0,May,1,25,2,41,0,7
5,tt0993846,"Biography, Crime, Drama",nm0000217,nm0000138,nm1706767,8.2,December,1,167,1,99,2,8
6,tt1130884,"Mystery, Thriller",nm0000217,nm0000138,nm0607865,8.2,March,1,167,1,99,0,5
7,tt2015381,"Action, Adventure, Comedy",nm0348181,nm0695435,nm0004874,8.0,August,0,15,0,17,0,7
8,tt7286456,"Crime, Drama, Thriller",nm0680846,nm0001618,nm0000134,8.5,October,4,20,1,67,2,61
9,tt1431045,"Action, Adventure, Comedy",nm1783265,nm0005351,nm1072555,8.0,February,1,2,0,18,0,3
10,tt1392190,"Action, Adventure, Sci-Fi",nm0004306,nm0362766,nm0000234,8.1,May,1,71,1,18,1,65
11,tt2488496,"Action, Adventure, Sci-Fi",nm0009190,nm5397459,nm3915784,7.9,December,0,24,0,8,0,8
12,tt2267998,"Drama, Mystery, Thriller",nm0000399,nm0000255,nm0683253,8.1,October,2,68,2,71,1,30
13,tt1392170,"Action, Adventure, Sci-Fi",nm0002657,nm2225369,nm1242688,7.2,March,4,8,1,118,0,19
14,tt4154756,"Action, Adventure, Sci-Fi",nm0751577,nm0000375,nm1165110,8.4,April,0,6,2,41,0,13
15,tt4154796,"Action, Adventure, Drama",nm0751577,nm0000375,nm0262635,8.4,April,0,6,2,41,0,7
16,tt1454468,"Drama, Sci-Fi, Thriller",nm0190859,nm0000113,nm0000123,7.7,October,4,253,1,76,2,91
17,tt1201607,"Adventure, Drama, Fantasy",nm0946734,nm0705356,nm0914612,8.1,July,0,15,0,15,0,25
18,tt0903624,"Adventure, Fantasy",nm0001392,nm0293509,nm0005212,7.8,December,3,136,0,10,2,53
19,tt3659388,"Adventure, Drama, Sci-Fi",nm0000631,nm0000354,nm1567113,8.0,October,4,44,1,34,2,85
20,tt0435761,"Animation, Adventure, Comedy",nm0881279,nm0000158,nm0000741,8.3,June,2,28,2,88,0,22
21,tt1300854,"Action, Adventure, Sci-Fi",nm0000948,nm0000375,nm0001602,7.2,May,0,4,2,41,0,11
22,tt0800369,"Action, Adventure, Fantasy",nm0000110,nm1165110,nm0000164,7.0,April,5,33,0,13,1,52
23,tt2395427,"Action, Adventure, Sci-Fi",nm0923736,nm0000375,nm0262635,7.3,April,1,25,2,41,0,7
24,tt0458339,"Action, Adventure, Sci-Fi",nm0002653,nm0262635,nm0915989,6.9,July,1,0,0,7,0,31
25,tt1843866,"Action, Adventure, Sci-Fi",nm0751577,nm0262635,nm0000168,7.7,April,0,6,0,7,1,39
26,tt1228705,"Action, Adventure, Sci-Fi",nm0269463,nm0000375,nm0000620,7.0,April,0,9,2,41,1,39
27,tt2582802,"Drama, Music",nm3227090,nm1886602,nm0799777,8.5,October,1,76,0,4,1,60
28,tt2278388,"Adventure, Comedy, Crime",nm0027572,nm0000146,nm0000719,8.1,March,7,75,2,41,1,8
29,tt1663202,"Action, Adventure, Drama",nm0327944,nm0000138,nm0362766,8.0,January,4,120,1,99,1,18
30,tt0947798,"Drama, Thriller",nm0004716,nm0000204,nm0005109,8.0,December,1,41,1,93,0,14
31,tt0770828,"Action, Adventure, Sci-Fi",nm0811583,nm0147147,nm0010736,7.0,June,0,5,0,3,6,71
